2023-06-16 08:16:35,467 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0007406038490903368 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,467 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0007406038490903368 None
2023-06-16 08:16:35,480 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0005847975750624016 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,480 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0005847975750624016 None
2023-06-16 08:16:35,501 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 1.7552714654516633e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,501 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 1.7552714654516633e-05 None
2023-06-16 08:16:35,504 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.03568879255821281 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,504 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.03568879255821281 None
2023-06-16 08:16:35,509 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 8.84027930982909e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,509 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 8.84027930982909e-05 None
2023-06-16 08:16:35,513 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.00038147657572208606 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,513 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.00038147657572208606 None
2023-06-16 08:16:35,513 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.010462675155776799 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,517 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.010462675155776799 None
